abbrv_param_count,model,head_count,d_model_per_head,layer_count,parameters
1,single,0,0,0,1
141K,dasm_sml,4,4,3,140532
1.6M,dasm_lrg,8,4,5,1625108
14K,dasm_13k,4,4,3,13812
20K,dasm_20k,4,4,5,20372
52K,dasm_52k,4,8,3,52180
78K,dasm_77k,4,8,5,77588
1.2M,dasm_1m,8,16,5,1195028
4.7M,dasm_4m,8,32,5,4749332
7.1M,dasm_7m,8,32,8,7118612
8.6M,dasm_8m,20,16,6,8644180
281K,dasm_bid_sml,4,4,3,281252
3.3M,dasm_bid_lrg,8,4,5,3251636
28K,dasm_bid_13k,4,4,3,27812
41K,dasm_bid_20k,4,4,5,40932
106K,dasm_bid_52k,4,8,3,105780
157K,dasm_bid_77k,4,8,5,156596
2.4M,dasm_bid_1m,8,16,5,2420372
9.6M,dasm_bid_4m,8,32,5,9624852
14.4M,dasm_bid_7m,8,32,8,14363412
17.5M,dasm_bid_8m,20,16,6,17487060
