overlap,residual,total_obs,total_exp,model_nickname,data_description
0.7999151499739259,0.0425635394175909,18475,20093.5037134625,single-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV1
0.8010500137048617,0.0439367294446111,41022,45157.62196719647,single-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV3
0.8100326568208445,0.0421965238650439,22078,23653.20849140733,single-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV4
0.8004354955625264,0.0421076938868344,18475,20338.3003148064,single-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV1
0.8018439391573648,0.0434127382684494,41022,45733.18078196049,single-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV3
0.8109572067778431,0.0414877713982049,22078,23955.39208300039,single-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV4
0.8004739859254162,0.0420757629805271,18475,20356.468519434333,single-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV1
0.801885160632045,0.0433766877296814,41022,45775.240540504456,single-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV3
0.8110192565714854,0.0414379807657531,22078,23977.62701584585,single-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV4
0.8011292367478157,0.0415493622419193,18475,20680.63272369653,single-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV1
0.8026149388980991,0.0427752498150656,41022,46538.88382643461,single-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV3
0.8121394298953599,0.0405904065968371,22078,24380.64448674582,single-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV4
0.8015658597272635,0.0410968457845048,18475,21008.86821872741,single-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV1
0.8030647433731539,0.0422635369900501,41022,47314.19672524929,single-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV3
0.813240571136131,0.0398317300536985,22078,24791.032470082864,single-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV4
0.9716923342136352,0.0067312143714823,18475,18423.97121066973,dnsm_1m-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV1
0.9819857727900924,0.0041984017322332,41022,41134.68513548374,dnsm_1m-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV3
0.9754483561156768,0.005731430952504,22078,21972.808953067288,dnsm_1m-v1jaffe+v1tang-joint,rodriguezDnsmSim_IGHV4
0.9672383847485434,0.0078866120100282,18475,18692.209165591747,dnsm_1m-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV1
0.979663469189691,0.0048511773252727,41022,41634.79929691553,dnsm_1m-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV3
0.9708451254308192,0.0069776604022161,22078,22346.095095523637,dnsm_1m-jaffeTangDnsmSim-joint,rodriguezDnsmSim_IGHV4
0.9618255673492504,0.0089020272206438,18475,18601.37997000292,dnsm_1m-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV1
0.9804776550714482,0.0046010174410179,41022,41239.764689445496,dnsm_1m-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV3
0.9721184855566728,0.0066095686507821,22078,22102.222414395303,dnsm_1m-jaffeTangDnsmSim250k-joint,rodriguezDnsmSim_IGHV4
0.9616307909157298,0.0100101817147626,18475,18794.94800466299,dnsm_1m-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV1
0.9750816432544284,0.0060638641898914,41022,41779.60975062847,dnsm_1m-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV3
0.9675976756617328,0.0077367845591797,22078,22364.477031785063,dnsm_1m-jaffeTangDnsmSim100k-joint,rodriguezDnsmSim_IGHV4
0.9465631882716352,0.0133856992975135,18475,19126.09607432969,dnsm_1m-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV1
0.97025033769514,0.007639024860653,41022,42221.472223341465,dnsm_1m-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV3
0.9622987077984296,0.0088156765208768,22078,22566.77259809198,dnsm_1m-jaffeTangDnsmSim50k-joint,rodriguezDnsmSim_IGHV4
